CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
AZUL METALICO BASE;RAW;DUCO;70;55;8;12;;;;;;;;;;;;;
AZUL METALICO BASE;T48;DUCO;77;19;19;14;27;;;;;;;;;;;;
ROSA CHICLE;ROSA;DUCO;150;4;2;14;;;;;;;;;;;;;
BASE GRIS;LATERAL;DUCO;51;37;26;37;;;;;;;;;;;;;
BASE P/ 057;057-TOY;DUCO;167,2;0,7;0,1;0,8;0,5;0,7;;;;;;;;;;;
MARRON BEIGE;GALEZ;DUCO;60;30;14;10;2;30;;;;;;;;;;;
VERDE VOSQUE;VOSQUE;DUCO;60;5;12;7;40;76;;;;;;;;;;;
AZUL METALICO BASE;8V7;DUCO;80;300;60;60;;;;;;;;;;;;;
MARAVILLA;LILAS-10;SER;232;41;210;;;;;;;;;;;;;;
NARANJA METALICO BASE;ASQ-FD;DUCO;30;20;230;5;140;;;;;;;;;;;;
GRIS METALICO BASE;301/B;DUCO;70;2;60;3;20;50;;;;;;;;;;;
BEIGE AMARILLO;MACADAMIO;DUCO;90;12;3;43;;;;;;;;;;;;;
FREIJO OSCURO;FREIJO-OS;DUCO;70;22;12;9;4;4;2;26;;;;;;;;;
BEIGE BASE REANAULT;C66;DUCO;130;70;3;24;9;7;3;;;;;;;;;;
NARANJA BASE;KUBOTA;DUCO;375,5;1,3;25,7;40,5;;;;;;;;;;;;;
BEIGE BASE P/ DZ;DZ;DUCO;260;18;100;11;12;;;;;;;;;;;;
GRIS BASE MET P/ ZBD;ZBD;DUCO;80;18;8;2;1;15;15;;;;;;;;;;
ALUMINIO BASE P/ H81;H81;DUCO;270;60;45;3;20;2;;;;;;;;;;;
AZUL BASE MET P/ BW6;BW6;DUCO;79;100;6;10;;;;;;;;;;;;;
AZUL METALICO;8K1;DUCO;77;16;18;3;30;;;;;;;;;;;;
AZUL CELESTE SAMA;SAMA-1;DUCO;1815;11;204;1322;;;;;;;;;;;;;
AZUL OSCURO SAMA;SAMA-2;DUCO;705;2;61;24;128;;;;;;;;;;;;
LILA PURO;SKY-3;DUCO;87;68;;;;;;;;;;;;;;;
GRIS ARCILLA;ARCILLA;DUCO;110;1;1;10;10;5;9;;;;;;;;;;
VERDE INTENSO;VIVAS-2;DUCO;80;10;60;;;;;;;;;;;;;;
CELESTE BASE MET;33Y;DUCO;140;1;5;8;;;;;;;;;;;;;
BEIGE ROBLE KENDA;KENDA;DUCO;105;3;13;5;40;;;;;;;;;;;;
VERDE BASE P/ 681;681-TOY;DUCO;136;67;176;16;25;510;;;;;;;;;;;
AZUL METALICO BASE;8B5;DUCO;70;15;38;32;2;;;;;;;;;;;;
BEIGE AMARILLO;SOLANUM;DUCO;38;14;15;32;9;5;100;;;;;;;;;;
AMARILLO FREIGO PURO;FREGIO;DUCO;33;7;39;68;10;63;;;;;;;;;;;
VERDE BASE MET P/ 6J4;6J4;DUCO;470;190;17;70;50;10;17;5;;;;;;;;;
GRIS METALICO BASE;R4G;DUCO;200;77;77;15;20;2;10;7;;;;;;;;;
VERDE MENTOL MET VW;7462  VW;SER;820;20;11;16;20;;;;;;;;;;;;
GRIS BASE MET P/ ZQS;ZQS;DUCO;100;8;30;;;;;;;;;;;;;;
